model,seed,time_s,r2,rmse,mae,smape,mape,pearson_r,explained_variance
ResMLP,42,,0.8888634443283081,9.761277157128633,6.219661235809326,21.996376037597656,24.92913818359375,0.9431258299463686,0.8894005417823792
DCN-V2,42,,0.8093687295913696,12.784248578573166,8.245134353637695,27.067577362060547,31.921831130981445,0.9002048102060306,0.8096247315406799
CatBoost,42,,0.8098032307139059,12.769671822834477,8.42937996594078,27.35836231571212,33.08715930324242,0.9020823900369831,0.8098060841470609
LightGBM,42,,0.8081190921210448,12.826083137472578,8.53894576274954,27.82220806891734,33.88385000294769,0.9008080045105133,0.8081223541757158
XGBoost,42,,0.76740962266922,14.121278525762051,9.32033634185791,29.528470993041992,36.11785888671875,0.8777958011309311,0.7674131393432617
ResMLP,43,,0.8911764025688171,9.660976796175943,6.268984794616699,22.14288902282715,25.89288902282715,0.9440527705857207,0.8912343382835388
DCN-V2,43,,0.8097350597381592,12.774350717546579,8.23471736907959,26.778438568115234,31.24287986755371,0.9001964193487562,0.8102611303329468
CatBoost,43,,0.814721620618054,12.605840995197127,8.419944869703913,27.237674681795315,32.85533680040653,0.9046100777181724,0.814721831390925
LightGBM,43,,0.8128963865347751,12.667780822991634,8.539204389724523,27.68006564434213,33.62236616696746,0.9032725211729322,0.8128968093348754
XGBoost,43,,0.7745609283447266,13.905096730619698,9.276666641235352,29.265039443969727,35.77114486694336,0.8817792174931797,0.7745635509490967
ResMLP,44,,0.891703724861145,9.667773435527106,6.219616413116455,21.937204360961914,25.18061637878418,0.9443798761362897,0.8918428421020508
DCN-V2,44,,0.8158425688743591,12.60707436222256,8.22834300994873,27.002958297729492,31.9722900390625,0.9034352357875376,0.8159696459770203
CatBoost,44,,0.8130348375059421,12.70281647054667,8.406220566140917,27.288509897507513,33.03925851851281,0.9037753987150071,0.8130348403517265
LightGBM,44,,0.81186979940549,12.742332607723302,8.518191895616173,27.733157759535793,33.82177066969405,0.9028112852248861,0.8118699638946987
XGBoost,44,,0.77165687084198,14.0382717718678,9.318462371826172,29.55034637451172,36.2115478515625,0.8801531323244437,0.7716569900512695
ResMLP,45,,0.8933958411216736,9.692465020510939,6.194103717803955,21.8603572845459,25.177515029907227,0.9452757891585349,0.8935463428497314
DCN-V2,45,,0.8138909339904785,12.806514774860135,8.252427101135254,26.963706970214844,31.90138053894043,0.9026499118029498,0.8142821192741394
CatBoost,45,,0.8175508426428456,12.679967678944445,8.39180472069792,27.189366674228094,33.09405394234043,0.9064401134489011,0.8175511156461138
LightGBM,45,,0.8130051557573461,12.836955385353717,8.564976015618782,27.85480444257277,34.196633689337105,0.9035801544285796,0.813005167261364
XGBoost,45,,0.7752572298049927,14.073108520254207,9.327678680419922,29.487159729003906,36.39014434814453,0.8825270522526208,0.7752578258514404
ResMLP,46,,0.891304612159729,9.642424825029629,6.200836181640625,21.797786712646484,24.658008575439453,0.9443962420927888,0.8918783664703369
DCN-V2,46,,0.8161524534225464,12.540350522826367,8.203553199768066,26.803251266479492,31.467924118041992,0.9037632870027391,0.8164368271827698
CatBoost,46,,0.8153812665609493,12.566624804366299,8.383070184504954,27.21074254312571,32.823122725409895,0.9051501099261576,0.8153833352935681
LightGBM,46,,0.8122761575229525,12.671863401140408,8.537871815918693,27.828806125331575,33.844754662890026,0.9029766880564791,0.8122773612517434
XGBoost,46,,0.773094654083252,13.931667869602197,9.286495208740234,29.408153533935547,36.013267517089844,0.8810592460300368,0.7730973362922668
ResMLP,47,,0.8979672789573669,9.402587177467849,6.1725006103515625,21.916000366210938,24.897539138793945,0.9478696512289573,0.8984293937683105
DCN-V2,47,,0.8206783533096313,12.465046956585555,8.190807342529297,26.931880950927734,31.818077087402344,0.9062339047100738,0.8208283185958862
CatBoost,47,,0.8176401222242824,12.57020121128505,8.392306569753217,27.247803635901747,32.898027905447314,0.9068193073554991,0.817643873316227
LightGBM,47,,0.8155250110767809,12.642889137834754,8.499753801619585,27.747923594686856,33.7465416921174,0.9053661006594257,0.8155310081613558
